cancer_type,barcode
TCGA-ACC,TCGA-OR-A5JM-01A-11R-A29S-07
TCGA-MESO,TCGA-MQ-A4KX-01A-11R-A34F-07
TCGA-MESO,TCGA-XT-AASU-01A-11R-A40A-07
TCGA-MESO,TCGA-UD-AABY-01A-12R-A40A-07
TCGA-MESO,TCGA-ZN-A9VQ-01A-11R-A40A-07
TCGA-MESO,TCGA-NQ-A638-01A-11R-A34F-07
TCGA-THYM,TCGA-XU-A936-01A-11R-A42C-07
TCGA-THYM,TCGA-ZB-A96M-01A-11R-A42S-07
TCGA-THYM,TCGA-3G-AB14-01A-11R-A42C-07
TCGA-THYM,TCGA-XU-A92X-01A-11R-A42C-07
TCGA-READ,TCGA-AG-A020-01A-21R-A083-07
TCGA-READ,TCGA-DY-A1DD-01A-21R-A155-07
TCGA-READ,TCGA-AG-3727-01A-01R-0905-07
TCGA-READ,TCGA-AG-3583-01A-01R-0821-07
TCGA-READ,TCGA-AG-3611-01A-01R-0826-07
TCGA-TGCT,TCGA-4K-AA1H-01A-11R-A430-07
TCGA-TGCT,TCGA-SN-A6IS-01A-11R-A431-07
TCGA-TGCT,TCGA-2G-AAGX-01A-11R-A430-07
TCGA-TGCT,TCGA-XE-AAOF-01A-11R-A431-07
TCGA-TGCT,TCGA-2X-A9D5-01A-11R-A430-07
TCGA-LAML,TCGA-AB-2908-03A-01T-0740-13
TCGA-LAML,TCGA-AB-2873-03A-01T-0735-13
TCGA-LAML,TCGA-AB-2892-03A-01T-0734-13
TCGA-LAML,TCGA-AB-2920-03B-01T-0760-13
TCGA-LAML,TCGA-AB-2970-03A-01T-0734-13
TCGA-LAML,TCGA-AB-2841-03B-01T-0760-13
TCGA-LAML,TCGA-AB-2826-03A-01T-0734-13
TCGA-LAML,TCGA-AB-2877-03A-01T-0735-13
