PARTITION HOSTNAMES CPUS(A/I/O/T) MEMORY
batch cn613-05-l 0/0/20/20 120832
batch cn613-08-l 0/0/20/20 120832
batch cn613-11-r 0/0/20/20 120832
batch cn613-15-r 0/0/20/20 120832
batch cn613-16-r 0/0/20/20 120832
batch cn613-35-r 0/0/20/20 120832
batch cn613-07-l 0/20/0/20 120832
batch cn613-13-r 0/20/0/20 120832
batch cn613-33-l 0/20/0/20 120832
batch cn613-33-r 0/20/0/20 120832
batch cn613-34-l 0/20/0/20 120832
batch cn613-34-r 0/20/0/20 120832
batch cn613-35-l 0/20/0/20 251904
batch cn603-06-r 0/0/40/40 375618
batch cn509-11-r 0/0/40/40 375618
batch dbn302-01-r 0/0/20/20 120832
batch dbn302-26-l 0/0/20/20 120832
batch dbn303-02-l 0/0/16/16 55296
batch dbn302-05-l 0/0/16/16 55296
batch dbn302-06-l 0/0/16/16 55296
batch dbn302-07-l 0/0/16/16 55296
batch dbn302-08-l 0/0/16/16 55296
batch dbn302-09-l 0/0/20/20 120832
batch dbn302-10-l 0/0/20/20 120832
batch dbn302-11-r 0/0/20/20 120832
batch dbn302-12-l 0/0/20/20 120832
batch dbn302-12-r 0/0/20/20 120832
batch dbn302-24-r 0/0/20/20 120832
batch dbn302-25-l 0/0/20/20 251904
batch dbn302-25-r 0/0/20/20 120832
batch dbn302-27-l 0/0/20/20 120832
batch dbn302-32-l 0/0/20/20 120832
batch dbn302-33-l 0/0/20/20 120832
batch dbn302-33-r 0/0/20/20 120832
batch dbn302-34-l 0/0/20/20 120832
batch dbn302-35-l 0/0/20/20 120832
batch dbn303-01-l 0/0/16/16 123780
batch dbn303-01-r 0/0/16/16 55296
batch dbn303-02-r 0/0/16/16 120832
batch dbn303-03-l 0/0/16/16 55296
batch dbn303-03-r 0/0/16/16 55296
batch dbn303-04-l 0/0/16/16 55296
batch dbn303-04-r 0/0/16/16 55296
batch dbn303-05-l 0/0/16/16 55296
batch dbn303-05-r 0/0/16/16 120832
batch dbn303-06-l 0/0/16/16 55296
batch dbn303-06-r 0/0/16/16 55296
batch dbn303-07-l 0/0/16/16 120832
batch dbn303-07-r 0/0/16/16 55296
batch dbn303-08-l 0/0/16/16 55296
batch dbn303-08-r 0/0/16/16 55296
batch dbn303-09-l 0/0/16/16 55296
batch dbn303-09-r 0/0/16/16 55296
batch dbn303-10-l 0/0/16/16 120832
batch dbn303-10-r 0/0/16/16 55296
batch dbn303-11-r 0/0/16/16 120832
batch dbn303-12-l 0/0/16/16 120832
batch dbn303-12-r 0/0/16/16 120832
batch dbn303-13-l 0/0/16/16 55296
batch dbn303-13-r 0/0/16/16 120832
batch dbn303-14-l 0/0/16/16 55296
batch dbn303-14-r 0/0/16/16 55296
batch dbn303-15-l 0/0/16/16 55296
batch dbn303-15-r 0/0/16/16 55296
batch dbn303-16-l 0/0/16/16 55296
batch dbn303-16-r 0/0/16/16 120832
batch dbn303-17-l 0/0/16/16 55296
batch dbn303-17-r 0/0/16/16 55296
batch dbn303-18-l 0/0/16/16 55296
batch dbn303-18-r 0/0/16/16 55296
batch dbn303-19-l 0/0/16/16 51204
batch dbn303-19-r 0/0/16/16 55296
batch dbn303-20-l 0/0/16/16 55296
batch dbn303-20-r 0/0/16/16 55296
batch dbn303-24-l 0/0/16/16 123780
batch dbn303-24-r 0/0/16/16 55296
batch dbn303-25-l 0/0/16/16 55296
batch dbn303-25-r 0/0/16/16 55296
batch dbn303-26-l 0/0/16/16 55296
batch dbn303-26-r 0/0/16/16 55296
batch dbn303-27-l 0/0/16/16 55296
batch dbn303-27-r 0/0/16/16 55296
batch dbn303-28-l 0/0/16/16 55296
batch dbn303-28-r 0/0/16/16 55296
batch dbn303-29-l 0/0/16/16 55296
batch dbn303-29-r 0/0/16/16 55296
batch dbn303-30-l 0/0/16/16 55296
batch dbn303-30-r 0/0/16/16 55296
batch dbn303-31-l 0/0/16/16 55296
batch dbn303-31-r 0/0/16/16 55296
batch dbn303-32-l 0/0/16/16 55296
batch dbn303-32-r 0/0/16/16 55296
batch dbn303-33-l 0/0/16/16 55296
batch dbn303-33-r 0/0/16/16 55296
batch dbn303-34-l 0/0/16/16 55296
batch dbn303-35-l 0/0/16/16 55296
batch dbn303-36-l 0/0/16/16 55296
batch dbn303-37-l 0/0/16/16 120832
batch dbn404-01-r 0/0/16/16 55296
batch dbn404-02-l 0/0/16/16 55296
batch dbn404-02-r 0/0/16/16 55296
batch dbn404-03-l 0/0/16/16 55296
batch dbn404-03-r 0/0/16/16 55296
batch dbn404-04-l 0/0/16/16 55296
batch dbn404-05-r 0/0/16/16 55296
batch dbn404-06-r 0/0/16/16 55296
batch dbn404-07-l 0/0/16/16 55296
batch dbn404-07-r 0/0/16/16 55296
batch dbn404-08-l 0/0/16/16 55296
batch dbn404-17-l 0/0/20/20 120832
batch dbn404-18-l 0/0/20/20 120832
batch dbn404-19-r 0/0/20/20 251904
batch dbn404-20-l 0/0/20/20 120832
batch dbn404-28-l 0/0/20/20 120832
batch dbn404-29-l 0/0/20/20 120832
batch dbn404-30-r 0/0/20/20 120832
batch dbn404-31-l 0/0/20/20 120832
batch sdlm110-16 0/0/64/64 1014237
batch sdlm110-18 0/0/64/64 1014237
batch sdlm111-16 0/0/64/64 1014237
batch sdlm111-18 0/0/64/64 1014237
batch sdlm111-20 0/0/64/64 1014237
batch sdlm111-22 0/0/64/64 1014237
batch cn509-03-r 20/0/20/40 375618
batch cn509-12-r 20/0/20/40 375618
batch cn509-20-l 28/0/12/40 375618
batch cn509-24-r 20/0/20/40 375618
batch cn512-06-l 20/0/20/40 375618
batch cn512-17-l 36/0/4/40 375618
batch cn512-18-r 20/0/20/40 375618
batch cn512-21-r 20/0/20/40 375618
batch cn512-23-l 20/0/20/40 375618
batch cn603-09-l 12/0/28/40 375618
batch cn603-26-l 20/0/20/40 375618
batch cn605-23-l 33/0/7/40 375618
batch cn605-25-l 32/0/8/40 375618
batch cn605-27-r 40/0/0/40 375618
batch cn612-38-l 20/0/0/20 120832
batch cn512-04-l 0/0/40/40 375618
batch cn512-08-l 0/0/40/40 375618
batch cn512-23-r 0/0/40/40 375618
batch cn603-07-r 0/0/40/40 375618
batch cn612-08-l 0/0/20/20 120832
batch cn612-25-r 0/0/20/20 120832
batch dbn302-01-l 0/0/16/16 120832
batch dbn302-02-l 0/0/16/16 120832
batch dbn302-02-r 0/0/16/16 55296
batch dbn302-03-l 0/0/16/16 55296
batch dbn302-03-r 0/0/16/16 120832
batch dbn302-04-l 0/0/16/16 120832
batch dbn302-04-r 0/0/16/16 55296
batch dbn302-05-r 0/0/16/16 55296
batch dbn302-06-r 0/0/16/16 55296
batch dbn302-07-r 0/0/16/16 55296
batch dbn302-08-r 0/0/16/16 55296
batch dbn503-33-l 0/0/16/16 251904
batch dbn503-35-l 0/0/16/16 251904
batch dlm104-21 0/0/64/64 1011843
batch dlm104-25 0/0/64/64 1011843
batch dlm104-29 0/0/64/64 768883
batch dlm104-33 0/0/64/64 768883
batch dlm104-37 0/0/64/64 768883
batch dlm511-01 0/0/64/64 1409000
batch dlm511-05 0/0/64/64 1543042
batch dlm511-09 0/0/64/64 1543042
batch dlm511-13 0/0/64/64 1543042
batch dlmn514-11 0/0/80/80 2059148
batch dlmn514-19 0/0/64/64 2059148
batch dlmn514-27 0/0/64/64 2059148
batch ds502-21-l 0/0/16/16 252800
batch ds503-01 0/0/64/64 252803
batch ds503-13 0/0/64/64 252803
batch ds503-21 0/0/64/64 252803
batch ds503-25 0/0/64/64 252803
batch ds503-29 0/0/64/64 252803
batch ds505-01 0/0/64/64 252803
batch ds505-05 0/0/64/64 252803
batch ds505-09 0/0/64/64 252803
batch ds505-13 0/0/64/64 252803
batch ds505-17 0/0/64/64 252803
batch ds505-21 0/0/64/64 252803
batch ds505-25 0/0/64/64 252803
